a,b,c,d
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.396000147,0
2.42475009,2.528612614,2.393000126,0
2.42475009,2.528612614,2.404000044,0
2.42475009,2.528612614,2.404000044,0
2.42475009,2.528612614,2.404000044,0
2.42475009,2.528612614,2.404000044,0
2.42475009,2.528612614,2.404250145,0
2.42475009,2.528612614,2.404250145,0
2.42475009,2.528612614,2.404250145,0
2.42475009,2.528612614,2.394000053,0
2.42475009,2.528612614,2.394000053,0
2.42475009,2.528612614,2.405500174,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.395000219,0
2.42475009,2.528612614,2.407000065,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396500111,0
2.42475009,2.528612614,2.396750212,0
2.42475009,2.528612614,2.396750212,0
2.42475009,2.528612614,2.406750202,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.407000065,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.403000116,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.402000189,0
2.42475009,2.528612614,2.405750275,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.404000044,0
2.42475009,2.528612614,2.404000044,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.393000126,0
2.42475009,2.528612614,2.393000126,0
2.42475009,2.528612614,2.392500162,0
2.42475009,2.528612614,2.404000044,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.395500183,0
2.42475009,2.528612614,2.405750275,0
2.42475009,2.528612614,2.391250134,0
2.42475009,2.528612614,2.391250134,0
2.42475009,2.528612614,2.391250134,0
2.42475009,2.528612614,2.391250134,0
2.42475009,2.528612614,2.391250134,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.401500225,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.40500021,0
2.42475009,2.528612614,2.40500021,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.397000074,0
2.42475009,2.528612614,2.397000074,0
2.42475009,2.528612614,2.397000074,0
2.42475009,2.528612614,2.397000074,0
2.42475009,2.528612614,2.397000074,0
2.42475009,2.528612614,2.397000074,0
2.42475009,2.528612614,2.397000074,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.396250248,0
2.42475009,2.528612614,2.406500101,0
